,Source,Target,religion_name,first_year,last_year
394,William Cash,APS,Quaker,1839,1840
395,R D Catchpool,APS,Quaker,1860,1867
396,Thomas Catchpool,APS,Quaker,1838,1855
397,Thomas Chalk,APS,Quaker,1839,1840
398,Elizabeth Charelton,APS,Quaker,1861,1867
399,James Charleton,APS,Quaker,1839,1839
400,Robert Charleton,APS,Quaker,1856,1867
401,Richard Christy,APS,Quaker,1840,1866
402,Cyrus Clark,APS,Quaker,1861,1861
403,James Clark (2),APS,Quaker,1860,1866
404,Joseph Clark,APS,Quaker,1860,1866
405,W S Clark,APS,Quaker,1861,1866
406,George Cook,APS,Quaker,1866,1866
407,J H Cotterell,APS,Quaker,1862,1862
408,Elliott Cresson,APS,Quaker,1839,1852
409,W D Crewdson,APS,Quaker,1838,1840
410,Ann Cropper,APS,Quaker,1861,1867
411,James Cropper,APS,Quaker,1866,1867
412,John Cropper,APS,Quaker,1866,1867
413,Joseph Crosfield,APS,Quaker,1861,1867
414,William Crosfield,APS,Quaker,1861,1864
415,Jeremiah Cross,APS,Quaker,1861,1866
416,Martha Cross,APS,Quaker,1860,1860
417,Edward A Crouch,APS,Quaker,1857,1860
418,Abraham Crowley,APS,Quaker,1851,1855
419,Frederick Crowley,APS,Quaker,1865,1867
420,J Cudworth,APS,Quaker,1860,1863
421,Mary Cudworth,APS,Quaker,1861,1867
422,William Cudworth,APS,Quaker,1861,1867
423,Lucy Darby,APS,Quaker,1851,1855
424,Richard Day,APS,Quaker,1851,1851
425,William Dent,APS,Quaker,1851,1855
426,Barnard Dickinson,APS,Quaker,1851,1853
427,Elizabeth G Dimsdale,APS,Quaker,1867,1867
428,J Doubleday,APS,Quaker,1866,1866
429,R Doubleday,APS,Quaker,1866,1866
430,Joseph Eaton,APS,Quaker,1839,1858
431,Thomas Emmott,APS,Quaker,1866,1867
432,Mary Exton,APS,Quaker,1852,1860
433,William Exton,APS,Quaker,1851,1851
434,Abraham Fisher,APS,Quaker,1859,1865
435,Rachel Fowler,APS,Quaker,1851,1867
436,Thomas Fowler,APS,Quaker,1838,1851
437,Alfred L Fox,APS,Quaker,1867,1867
438,Francis E Fox,APS,Quaker,1838,1867
439,Frederick H Fox,APS,Quaker,1862,1867
440,J G Fox,APS,Quaker,1858,1858
441,R Barclay Fox,APS,Quaker,1851,1857
442,Philip Frith,APS,Quaker,1839,1840
443,Frederick Fryer,APS,Quaker,1861,1867
