"Name","birth_year","death_year","Target","first_year","last_year"
S Horman-Fisher,NA,NA,APS,1857,1857
Robert Horne,NA,NA,APS,1860,1867
John Horniman,NA,NA,APS,1860,1867
Charles Horsnaill,NA,NA,APS,1860,1866
W C Horsnaill,NA,NA,APS,1860,1861
Sarah Hotham,NA,NA,APS,1860,1866
Luke Howard,NA,NA,APS,1851,1852
William Howitt,NA,NA,APS,1839,1851
Rachel Hubbert,NA,NA,APS,1866,1866
Joseph Hudson,NA,NA,APS,1861,1861
John Huntley,NA,NA,APS,1864,1866
Joseph Huntley,NA,NA,APS,1860,1867
Martha Hutchinson,NA,NA,APS,1839,1840
R Impey,NA,NA,APS,1861,1863
Edward James,NA,NA,APS,1860,1867
A Janson,NA,NA,APS,1861,1861
William Janson,NA,NA,APS,1852,1867
Andrew Johnston,NA,NA,APS,1838,1866
Andrew & Jun Johnston,NA,NA,APS,1861,1862
John Jowett,NA,NA,APS,1860,1867
W D King,NA,NA,APS,1862,1865
J H Knight,NA,NA,APS,1860,1861
T Knott,NA,NA,APS,1860,1860
Edward A Leatham,NA,NA,APS,1851,1867
Isabella Lister,NA,NA,APS,1838,1840
Wilson Lloyd,NA,NA,APS,1866,1867
Haggar Lowe,NA,NA,APS,1838,1867
Edmund Lucas,NA,NA,APS,1851,1864
Frederick Lucas,NA,NA,APS,1839,1840
Jeffrey Lucas,NA,NA,APS,1840,1854
Martha Lucas,NA,NA,APS,1851,1855
Samuel Lucas,NA,NA,APS,1851,1867
William Jun Lucas,NA,NA,APS,1839,1860
Harford Lury,NA,NA,APS,1860,1865
J E Lury,NA,NA,APS,1853,1867
W Mann,NA,NA,APS,1860,1860
Caroline Marriage,NA,NA,APS,1860,1867
Edward Marsh,NA,NA,APS,1857,1867
Thomas William Marsh,NA,NA,APS,1860,1867
Thomas Maw,NA,NA,APS,1839,1840
Edward C May,NA,NA,APS,1839,1862
Francis May,NA,NA,APS,1860,1865
John Mayfield,NA,NA,APS,1847,1867
Josiah Merrick,NA,NA,APS,1860,1867
John Morland,NA,NA,APS,1839,1867
George L Neighbour,NA,NA,APS,1847,1867
Josiah Newman,NA,NA,APS,1867,1867
William Norris,NA,NA,APS,1860,1867
Thomas Norton,NA,NA,APS,1860,1867
William Norton,NA,NA,APS,1861,1867
William Nutter,NA,NA,APS,1860,1866
J J Packer,NA,NA,APS,1861,1862
George Palmer,NA,NA,APS,1860,1867
Reuben C Payne,NA,NA,APS,1860,1867
Arthur Pease,NA,NA,APS,1861,1866
Edward Pease,NA,NA,APS,1838,1867
Gurney Pease,NA,NA,APS,1865,1866
Henry Fell Pease,NA,NA,APS,1851,1867
John Pease,NA,NA,APS,1851,1867
John B Pease,NA,NA,APS,1852,1867
Joseph Pease,NA,NA,APS,1838,1866
Joseph Whitwell Pease,NA,NA,APS,1866,1866
Susan Pease,NA,NA,APS,1851,1851
Thomas Pease,NA,NA,APS,1861,1867
Algernon Peckover,NA,NA,APS,1851,1867
William Peckover,NA,NA,APS,1866,1867
Robert H Penney,NA,NA,APS,1866,1867
Isaac Pitt,NA,NA,APS,1860,1867
Jacob Post,NA,NA,APS,1839,1851
Joseph T Price,NA,NA,APS,1838,1855
Lydia Prideaux,NA,NA,APS,1860,1867
Samuel Priestman,NA,NA,APS,1860,1865
John Pryor,NA,NA,APS,1852,1852
G R Pumphrey,NA,NA,APS,1862,1862
W P Read,NA,NA,APS,1862,1862
Isaac Reckitt,NA,NA,APS,1861,1861
Jonathan Rees,NA,NA,APS,1851,1854
Jane Reynolds,NA,NA,APS,1838,1855
G E Richardson,NA,NA,APS,1860,1860
John Rickman,NA,NA,APS,1839,1851
Josephina Rickman,NA,NA,APS,1839,1851
Matilda Rickman,NA,NA,APS,1851,1851
Priscilla Rickman,NA,NA,APS,1840,1840
R Rickman,NA,NA,APS,1838,1863
R P Rickman,NA,NA,APS,1860,1865
Isaac Robson,NA,NA,APS,1862,1867
J S Robson,NA,NA,APS,1861,1867
Joseph Rosling,NA,NA,APS,1860,1860
Samuel Rosling,NA,NA,APS,1866,1867
John Rowntree,NA,NA,APS,1855,1867
W Rowntree,NA,NA,APS,1860,1860
Sarah Rundell,NA,NA,APS,1851,1856
John F Rutter,NA,NA,APS,1863,1867
Samuel Rutter,NA,NA,APS,1862,1866
E Sayce,NA,NA,APS,1860,1860
Hannah Scarr,NA,NA,APS,1861,1866
F Seebohm,NA,NA,APS,1861,1861
John R Seekings,NA,NA,APS,1862,1866
James Sessions,NA,NA,APS,1851,1859
Lydia Sessions,NA,NA,APS,1865,1865
Robert Sessions,NA,NA,APS,1861,1867
Abraham Sewell,NA,NA,APS,1860,1866
E F Sewell,NA,NA,APS,1860,1860
Joseph Sewell,NA,NA,APS,1851,1851
Phillip Sewell,NA,NA,APS,1851,1856
Joseph Sharples,NA,NA,APS,1838,1867
John T Shewell,NA,NA,APS,1852,1866
Thomas Short,NA,NA,APS,1861,1867
W Dillwyn Sims,NA,NA,APS,1851,1865
W Skinner,NA,NA,APS,1861,1861
Bartholomew Smith,NA,NA,APS,1861,1867
George Smithson,NA,NA,APS,1865,1866
E P Southall,NA,NA,APS,1838,1838
Sarah Southall,NA,NA,APS,1864,1867
J M Sparkes,NA,NA,APS,1861,1866
H Squire,NA,NA,APS,1860,1860
John Stansfield,NA,NA,APS,1860,1866
Joseph Sterry,NA,NA,APS,1851,1867
Sarah Sterry,NA,NA,APS,1860,1861
J L Stevens,NA,NA,APS,1860,1865
Charles Sturge,NA,NA,APS,1860,1862
Edmund Sturge,NA,NA,APS,1860,1862
George Sturge,NA,NA,APS,1867,1867
H J Sturge,NA,NA,APS,1865,1867
Samuel Sturge,NA,NA,APS,1851,1855
Thomas M Sturge,NA,NA,APS,1838,1866
Walter Sturge,NA,NA,APS,1860,1867
Jemima Swan,NA,NA,APS,1862,1867
William Tanner,NA,NA,APS,1860,1865
W Tatum,NA,NA,APS,1860,1862
Edward Thomas,NA,NA,APS,1851,1854
George Thomas,NA,NA,APS,1851,1867
Samuel Thompson,NA,NA,APS,1839,1840
Fielden Thorpe,NA,NA,APS,1862,1867
E O Tindale,NA,NA,APS,1860,1860
Robert Tindall,NA,NA,APS,1839,1839
Joshua Treffry,NA,NA,APS,1860,1867
Nathaniel Tregellis,NA,NA,APS,1859,1867
Elizabeth Tuckett,NA,NA,APS,1840,1840
Francis Tuckett,NA,NA,APS,1840,1854
P Debell Tuckett,NA,NA,APS,1839,1866
D Tuke,NA,NA,APS,1861,1862
