"Name","birth_year","death_year","religion_1_quaker"
Robert Crawford,NA,NA,NA
Frederick A B Crawfurd,NA,NA,NA
John Crawfurd,1783,1868,NA
Oswald John Crawfurd,1834,1909,NA
W J Crichton,NA,NA,NA
George Critchett,1817,1882,NA
J  McGregor Croft,NA,NA,NA
Thomas Francis Dillon Croker,1831,1912,NA
J M Crolly,NA,NA,NA
A G Cross,NA,NA,NA
Henry Crowley,NA,1887,1
Jonathan Sparrow Crowley,1826,1888,NA
George Rayner Croxford,NA,NA,NA
Moore A Cuffe,NA,NA,NA
Richard Cull,NA,1892,NA
Henry Syer Cuming,1817,1902,NA
Richard S Cunliffe,NA,1879,NA
Alexander Cunningham,1814,1893,NA
Manockjee Cursetjee,1808,1887,NA
Edward Barrett Hodges Curteis,NA,1886,NA
John Cuthbert,NA,NA,NA
John Richmond Cuthbert,NA,1901,NA
George Cutler,NA,NA,NA
William Barrington D'Almeida,1841,1897,NA
Marie-Armand de Castera-Macaya D'Avezac,1798,1875,NA
Jean Baptiste Julien D'Omalius d'Halloy,1783,1875,NA
S J Da Costa,NA,NA,NA
x Daa,1809,1877,NA
T Dakin,NA,NA,NA
David Dale,1829,1906,1
G P Dall,NA,NA,NA
Eugene Dally,1833,1887,NA
G  Wythes Daniell,NA,NA,NA
William Freeman Daniell,1818,1865,NA
Robert Dukinfield Darbishire,1826,1908,NA
Frederick Whittock Darby,NA,NA,NA
Camille Dareste,1822,1899,NA
P  Francis Dart,NA,NA,NA
George Russell Dartnell,1799,1878,NA
Charles Darwin,1809,1882,NA
Erasmus (Ras) Darwin,1804,1881,NA
George Webbe Dasent,1817,1896,NA
Arthur Dashwood,NA,NA,NA
Samuel Davenport,1818,1906,NA
John George Davey,NA,NA,NA
John Davidson,NA,NA,NA
I Davie,NA,NA,NA
F  Drummond Davies,NA,NA,NA
Jesse Conway Davies,1822,NA,NA
William Davies,NA,NA,NA
Edmund Francis Davis,1845,1889,NA
Frederick E Davis,NA,NA,NA
George Henry Daw,NA,NA,NA
William Boyd Dawkins,1837,1929,NA
George Dawson,1821,1876,NA
Walter F Dawson,NA,NA,NA
G T Day,NA,NA,NA
Samuel Phillips Day,NA,NA,NA
John junr De Horne,NA,NA,NA
Octave Delepierre,1802,1879,NA
Walter Cooper Dendy,1794,1871,NA
George Denman,1819,1896,NA
George Dennis,1814,1898,NA
x Derby (formerly Stanley),1841,1908,NA
M Des Barres,1800,1885,NA
Jules Desnoyers,1800,1887,NA
Charles William Devis,NA,NA,NA
