"Source","Target"
Isidor Kopernicki,Poland
Isidor Kopernicki,Turkey
x Koren,Norway
Samuel Harley Kough,country
Alfred von Kremer,Germany
William White La Barte,country
George Lade,London
Samuel Laing,country
Samuel Laing,London
Samuel Laing,Scotland
Thomas Josiah Laing,London
Thomas Lampray,London
Jones Lamprey,country
John Lancaster,country
John Lancaster,London
Edwin Lander,country
Vavasour Joseph Lane,country
Augustus Henry Lane Fox later Pitt Rivers,Ireland
Augustus Henry Lane Fox later Pitt Rivers,London
Andrew Lang,country
Andrew Lang,London
Samuel Lang,Scotland
William Lang,London
William Lang,Scotland
J Langlands,Australia
J Langlands,London
J R Langley,country
Edouard Lartet,France
Robert Gordon Latham,London
William Latta,Africa
William Latta,Scotland
John Zachariah Laurence,London
Thomas Laurie,London
Joseph Law,country
Edward Lawford,country
Edward (1) Lawrence,country
Frederick Lawrence,London
John Lawrence,America
William Lawrence,London
J Lawson,country
William Lawson,country
Austen Henry Layard,London
x Le Bret,France
Edwin Lee,France
Frederick George Lee,London
George Byrne Lee,London
John Lee (2),London
John Lee (2),country
John Edward Lee,country
Richard Lee,London
Richard Lee,country
Conrad Leemans,Holland
Samuel Lees,country
William Benjamin Leggatt,India
Louis Leguay,France
Joseph Leidy,America
Henry Leighton,London
x Lelorrain,France
Arthur Charles Wriothesley Lennox,London
Richard Lepsius,Germany
Samuel Allen Letts,London
Karl Georg Friedrich Rudolf Leuckart,Germany
W  Hanks Levy,London
Malcolm Lewin,London
Charles Francis Lewis,country
James Lewis,London
x Library of the Corporation of London,London
Charles Linder,Canada
Gustaf Lindstrom,Sweden
John Lister,London
John Lister,country
x Literary and Philosophical Society,country
F T Littey,London
Robert Liveing,London
David Lloyd,London
Edmund Lloyd,country
James L Lobley,London
William Lockhart,China
William Lockhart,London
Joseph Norman Lockyer,London
Abraham Logan,Singapore
J R Logan,Singapore
x Londesborough,London
"Corporation Library London, City of",London
William Long,country
William Longman,London
Henry Lonsdale,country
Edward Lord,country
J K Lord,London
Horatio Love,London
Basil Lovery,India
Mark Anthony Lower,country
D Lubach,Holland
John Lubbock,country
Johann Constantin August Lucae,Germany
Thomas Lucas,London
William Charles Lucy,country
William Collings Lukis,country
Edward Lund,country
John Alfred Lush,country
Coryndon H Luxmoore,London
Philip Powys Lybbe Lybbe,London
Charles Lyell,London
Henry Bowden Lyle,London
William Hunter Lyle,Scotland
John Macartney,India
D G F Macdonald,London
William MacDonald,Scotland
John Gray Macfarlane,London
G Macgowan,America
John Mackenzie,Wales
K Mackenzie,London
Kenneth Robert Henderson Mackenzie,London
Samuel Joseph Mackie,London
Draper Mackinder,country
Lauchlan Mackinnon,London
Charles E Mackintosh,London
Daniel Mackintosh,country
David Mackintosh,country
J Mackrell,London
Charles Donald Maclean,India
Hector Maclean,Scotland
Samuel Maclean,London
George Macleay,London
Andrew Maclure,London
Charles Malcolm,Scotland
Charles Malcolm,country
William Elphinstone Malcolm,Scotland
Filippo Manetta,Italy
Robert James Mann,South Africa
Robert James Mann,London
Angelo Manzoni,Italy
Clements Robert Markham,London
W T Marriott,London
Matthew Henry Marsh,country
Matthew Henry Marsh,London
x Marshale,Austria
George William Marshall,London
Robert Marshall,London
William Marshall,London
William Marshall,country
Benbow Backhouse Marson,country
Edward W Martin,country
H  Victor Martin,country
J  Ranald Martin,London
J  Ranald Martin,country
John (2) Martin,country
Richard Biddulph Martin,London
x Martin-Magron,France
Nicholas Martindale,country
Nicholas Martindale,London
James Wood Mason,India
James Wood Mason,London
Joseph Mason,country
W Mason,London
James Mathieson,London
James Mathieson,country
Henry Matthews,London
Henry Garland Matthews,London
Samuel E Maunsell,India
Edward V Maur,country
Alfred Maury,France
George Maw,country
Daniel Maxwell,Argentina
Nicholas M Maxwell,London
Peter Benson Maxwell,Singapore
Edward Hooper May,London
John Edwin Mayall,London
John Edwin Mayall,country
Joseph Mayer,country
William Frederick Mayers,China
William Frederick Mayers,London
Thomas Mayne,country
John S Mayson,country
Alexander McArthur,London
Andrew McCallum,London
Arthur Edward McCallum,India
Arthur Edward McCallum,country
James McClelland,Scotland
James McClelland,London
John McCormick,Africa
William McCoskry,Africa
James McCraith,Turkey
James McCrevey,country
John McDonnell,Ireland
George McHenry,London
John Ferguson McLennan,Scotland
John Ferguson McLennan,London
Walter McLeod,London
John Frederick McNair,Singapore
John Frederick McNair,London
John Frederick McNair,Straits Settlements
H McNicholl,London
Barr Meadows,London
Thomas Taylor Meadows,China
John Medd,country
William H Medd,country
Charles William Carter Madden Medlicott,country
James Aitken Meigs,America
