"Name","quaker","first_year","last_year","birth_year","death_year"
Friedrich Max Muller,NA,1865,1871,"1,823","1,900"
Johan Muller,NA,1853,1858,"1,801","1,858"
x Munro,NA,1843,1857,NA,NA
Francis Kerridge Munton,NA,1870,1871,NA,NA
Roderick Impey Murchison,NA,1860,1871,"1,792","1,871"
John Murray,NA,1861,1870,"1,808","1,892"
G N Mussabini,NA,1851,1851,NA,NA
N G Mussabini,NA,1844,1844,NA,NA
Dadabhai Naoroji,NA,1866,1867,"1,825","1,917"
William Napier,NA,1861,1871,"1,804","1,879"
William Donald Napier,NA,1863,1868,NA,NA
Davyd William Nash,NA,1848,1871,"1,810","1,876"
Robert Lucas Nash,NA,1870,1871,"1,818","1,871"
Alexander Nasmyth,NA,1844,1846,"1,789","1,849"
Dominico Navoni,NA,1844,1844,NA,NA
J  Dormer Neale,NA,1868,1871,NA,"1,884"
Francis G P Neison,NA,1844,1853,NA,NA
William Neison,NA,1845,1852,NA,NA
Robert Stirling (1) Newall,NA,1870,1871,"1,812","1,889"
F W Newman,NA,1843,1846,NA,NA
Thomas Nicholas,NA,1869,1869,NA,NA
Brinsley Nicholson,NA,1855,1871,"1,824","1,892"
Charles Nicholson,NA,1858,1865,"1,808","1,903"
D Nicol,NA,1862,1862,NA,NA
J  Dyce Nicol,NA,1862,1871,NA,NA
Donald Nicoll,NA,1868,1868,NA,NA
Giustiniano Nicolucci,NA,1862,1871,"1,819","1,904"
Sven Nilsson,NA,1860,1871,"1,787","1,883"
Josiah Clark Nott,NA,1861,1871,"1,804","1,873"
Thomas William Nunn,NA,1851,1851,"1,825","1,909"
P O'Callaghan,NA,1870,1871,NA,NA
George O'Gorman,NA,1846,1852,NA,NA
Edward O'Riley,NA,1860,1871,NA,NA
William Ogilby,NA,1845,1850,NA,NA
Laurence Oliphant,NA,1860,1868,"1,829","1,888"
Samuel Pasfield Oliver,NA,1868,1869,"1,838","1,907"
Gustav Oppert,NA,1869,1871,"1,836","1,908"
W  Billing Orton,NA,1868,1871,NA,NA
Sherard Osborn,NA,1867,1871,"1,822","1,875"
Charles Otto,NA,1853,1871,"1,795","1,879"
Frederick Ouvry,NA,1868,1871,"1,814","1,881"
John Downes Owens,NA,1848,1848,"1,809","1,865"
Thomas Page,NA,1844,1844,NA,NA
Arthur Paget,NA,1861,1861,"1,851","1,928"
William Gifford Palgrave,NA,1868,1871,"1,826","1,888"
Harry Parkes,NA,1862,1871,"1,828","1,885"
Charles Pasley,NA,1848,1860,"1,824","1,890"
Edmund Patterson,NA,1860,1871,NA,NA
C H Pearson,NA,1856,1862,"1,830","1,894"
Francisco E Pereira,NA,1865,1871,NA,NA
Erskine Perry,NA,1853,1854,"1,806","1,882"
George Michael Perry,NA,1854,1856,NA,NA
Josef Anton Maximilian Perty,NA,1860,1871,"1,804","1,884"
Horace William Petherick,NA,1864,1871,"1,839","1,919"
William Vesalius Pettigrew,NA,1852,1856,NA,NA
Arthur Phayre,NA,1862,1871,"1,812","1,885"
Benjamin Phillips,NA,1851,1853,NA,NA
Philip Phoebus,NA,1861,1867,"1,804","1,880"
Edward Pick,NA,1861,1864,NA,NA
Charles Pickering,NA,1861,1871,"1,805","1,878"
