"Source","Target"
x Edwards,APS
E & M Elliott,APS
Ebenezer Elliott,APS
Mary Elliott,APS
John Ellis,APS
W Enfield,APS
John Epps,APS
Don Flores Estrada,APS
William Evans,APS
x Evans,APS
Edward Everett,APS
John Fairbarn,APS
William Falconer,APS
Joshua Fardon,APS
J Farnworth,APS
M Felix,APS
Pinheiro Fereira,APS
Conrad Finzel,APS
Horman S Fisher,APS
A Fitzjames,APS
x Flashman,APS
Estrade Flores,APS
E Ford,APS
Thomas Ford,APS
A F Forsell,APS
James T Foster,APS
John Lister Foster,APS
John Foulger,APS
x Foville,APS
Mary Fox,APS
x Foxville,APS
J J Freeman,APS
A Friend,APS
R Fry,APS
Benson Fryer,APS
Forster Fryer,APS
x Fryer,APS
Charles Garrett,APS
John Garrett,APS
H E Garvey,APS
M de Gasparin,APS
Elizabeth F Gibson,APS
G J Gibson,APS
Joseph Gillett,APS
F Good,APS
Hannah Good,APS
John T Grace,APS
M Grand Pierre,APS
M Grangeret de la Grange,APS
Laggan Grant,APS
Fr Groth,APS
Aldin Grout,APS
R R Gurley,APS
Edward Gurney,APS
Charles Gutzlaff,APS
R K Habgood,APS
C Haddison,APS
x Haddison,APS
x Hagger,APS
John Halcro,APS
John Hall,APS
x Halliday,APS
William Alers Hankey,APS
Josiah Hannam,APS
x Hannington,APS
x Hannom,APS
John Harford (2),APS
x Harmer,APS
James Harnard,APS
E Harris,APS
Isabella Harris,APS
Jane Harris,APS
John Harris,APS
Sarah Harris,APS
x Harrison,APS
W B Harvey,APS
Montague Hawtrey,APS
x Hayden,APS
A Heaviside,APS
S Hedley,APS
Bev D Hewett,APS
W M Higgins,APS
R Hill,APS
C Hinchcliffe,APS
Charles Hindley,APS
D P Hock,APS
A Hodgson,APS
x Hogendorp,APS
J Holen,APS
D Holmes,APS
x Hood,APS
Ann M Hopkins,APS
Sylvester Hovey,APS
x Humboldt,APS
x Humphrey,APS
Matthew Jun Hutchinson,APS
T Hutchinson,APS
Robert Ingam,APS
F Maitland Innes,APS
M Isambert,APS
Clement Jackson,APS
S J James,APS
John Jarold,APS
George Jarvis,APS
Joseph Jarvis,APS
R Jarvis,APS
x Jaubert,APS
S A Jeffries,APS
Samuel Jeffrys,APS
J Jefry,APS
N Jocelyn,APS
Joseph Johnson,APS
x Johnson,APS
Peter Jones,APS
Samuel Juke,APS
M A Julien,APS
x Julius,APS
Charles Jupe,APS
George T Kemp,APS
William Kennedy,APS
x Kerr,APS
x Kidd,APS
Henry Rochdale King,APS
J Knowles,APS
A J Larking,APS
H B Larking,APS
James Lawrence,APS
Buxton Lawrie,APS
Emma Letchworth,APS
x Letchworth,APS
Leone Levi,APS
Malcolm Lewin (2),APS
x Lichtenstein,APS
C Lilgevolch,APS
H L Lobeck,APS
A J Lorking,APS
x Lucas,APS
x Luden,APS
William Luner,APS
Robert Lush,APS
C Lushington,APS
S Lushington,APS
P Lyne,APS
G van der Maalen,APS
R A MacFie,APS
D P Mack,APS
Thomas MacNay,APS
x Maconochie,APS
G van der Maerlen,APS
P Maerlen,APS
Patrick Mair,APS
x Mallet,APS
Jules Malpet,APS
Jules Mampet,APS
W E Manser,APS
S Marsden,APS
x Marsden,APS
Martha E Marshall,APS
H Martin,APS
Peter Martin,APS
R Montgomery Martin,APS
W Martin,APS
x Martin,APS
M H Martindale,APS
Mary Martindale,APS
R A McFie,APS
x McLachlan,APS
x McNay,APS
W H Medhurst,APS
James Meek,APS
x Metcalf,APS
x Meyer,APS
Henry Miegoe,APS
E Mills,APS
D Mitchell,APS
x Mittermaier,APS
J Moffatt,APS
R Moffatt,APS
P Moire,APS
S G Montrou,APS
O Moore,APS
x Moorsom,APS
M Moraes Sarmento,APS
Henry Moreing,APS
x Morgan,APS
E Morris,APS
S G Morton,APS
Joseph Mosley,APS
Standish Motte,APS
C Mottley,APS
Joseph Mottley,APS
J Mounsey,APS
Edgar Musgrove,APS
W W Royston Nash,APS
J Natterier,APS
T Nicholls,APS
Daniel O'Connell,APS
John Olliver,APS
x Orchard,APS
x Orioli,APS
Oliver Ormerod,APS
J Horne Payne,APS
Z C Pearson,APS
Rachel Pease,APS
Richard Peck,APS
Brothers Peek,APS
Richard Peek,APS
J Pell,APS
x Philip,APS
x Phillips,APS
W Philpott,APS
Fererra Pinheiro,APS
T E Plint,APS
J F Polk,APS
T Pollard,APS
W Pollard,APS
x Pollard,APS
Margaret Pope,APS
Eliza Post,APS
x Post,APS
x Poulter,APS
Edward Priestman,APS
Elizabeth Priestman,APS
F R Priestman,APS
x Priestman,APS
