"Source","Target"
P B Brodie,ASL
Frederick Brome,ASL
James Brooke,ASL
Henry (2) Brookes,ASL
William Brookes,ASL
Charles Cornish Brown,ASL
Edward Brown,ASL
Edwin Brown,ASL
Edwin Ormond Brown,ASL
George W  (1) Brown,ASL
James Roberts Brown,ASL
John Allen Brown,ASL
John Harcourt Brown,ASL
x Brown-Sequard,ASL
Thomas Henry Browne,ASL
Robert Bruce,ASL
Ernst Wilhelm Ritter von Brucke,ASL
George Bryant,ASL
Ludwig Buchner,ASL
James Buckman,ASL
William Bull,ASL
Henry Christopher Bunkell,ASL
Henry Burden,ASL
Daniel Earl Burdett,ASL
August Friedrich Marschall von Burgholzhausen,ASL
John Smith Burke,ASL
Luke Burke,ASL
Hermann Burmeister,ASL
Samuel Burton,ASL
Johann Karl Eduard Buschmann,ASL
William John Busteed,ASL
Henry Butler,ASL
James Butler,ASL
Charles Buxton,ASL
Isaac Byerley,ASL
George Byham,ASL
John O'Connell Byrne,ASL
Benjamin Bond Cabbell,ASL
Henry Callaway,ASL
Thomas Callaway,ASL
John Calman,ASL
Luigi Calori,ASL
Frank Calvert,ASL
George Calvert,ASL
Charles Duncan Cameron,ASL
Francis Campbell,ASL
George (1) Campbell,ASL
Henry Campbell,ASL
James Campbell,ASL
Montgomery Campbell,ASL
Robert Campbell,ASL
T A Campbell,ASL
Francis Campin,ASL
Thomas Cannon,ASL
Jean-Francois Caplin,ASL
Charles Capper,ASL
Charles Napoleon de Cardi,ASL
William D Carey,ASL
John Burford Carlill,ASL
Robert Carrington,ASL
Samuel Cartwright,ASL
Facundo Carulla,ASL
Carl Gustav Carus,ASL
John Cassell,ASL
Fran̤ois Louis Nompar de Caumont La Force Castelnau,ASL
Henry James Castle,ASL
Daniel de Castro,ASL
George Catlin,ASL
John Cavafy,ASL
"Antonio de La, jun Cerda",ASL
John Henry Challis,ASL
William Chamberlin,ASL
Charles Harcourt Chambers,ASL
William Chambers,ASL
James Champley,ASL
Frank Chance,ASL
David Charles,ASL
Edward Charlesworth,ASL
Henry Charlton,ASL
Samuel Cheetham,ASL
Hendrick Agnis Chignell,ASL
Robert Caesar Childers,ASL
Samuel Chinnery,ASL
William Nathan Chipperfield,ASL
P H Chittenden,ASL
Henry Clare,ASL
x Clarendon,ASL
Henry Clark,ASL
Henry Wilberforce Clarke,ASL
Hyde Clarke,ASL
William Henry Claus,ASL
T H  Jun Clay,ASL
John (1) Cleghorn,ASL
John (2) Cleghorn,ASL
John Cleland,ASL
William James Clement,ASL
H Clerk,ASL
Maurice Philip Clifford,ASL
F W Coates,ASL
Henry Coates,ASL
Frederick Cock,ASL
John jun Cock,ASL
W  Spencer Cockings,ASL
James Coke,ASL
John Colam,ASL
W P Colchester,ASL
Henry Cole,ASL
Richard Beverley Cole,ASL
Vicat Cole,ASL
Edmund Walter Coleman,ASL
John Payne Collier,ASL
Thomas Collings,ASL
John Frederick Collingwood,ASL
S  Edwin Collingwood,ASL
John (1) Collinson,ASL
John Congreve,ASL
Moncure Daniel Conway,ASL
Samuel John Cooke,ASL
William Fothergill Cooke,ASL
William Gifford Cookesley,ASL
Daniel Cooper,ASL
Frederick Cooper,ASL
Holmes Coote,ASL
H Copham,ASL
Thomas Copings,ASL
William C Copperthwaite,ASL
William Cory,ASL
Frederick William Cosens,ASL
Handel Cossham,ASL
F L Cotton,ASL
Samuel Courtauld,ASL
F G Courthope,ASL
J  Jermyn Cowell,ASL
Joseph jun Cowen,ASL
Henry Augustus Cowper,ASL
Irwin Edward Bainbridge Cox,ASL
J W  Conrad Cox,ASL
W T Cox,ASL
James Coxe,ASL
Arthur Edmund Crafter,ASL
Henry Valentine Crassweller,ASL
Thomas William Craster,ASL
Tom junr Craston,ASL
Robert Crawford,ASL
Frederick A B Crawfurd,ASL
John Crawfurd,ASL
George Critchett,ASL
J M Crolly,ASL
A G Cross,ASL
Henry Crowley,ASL
George Rayner Croxford,ASL
