"Source","Target","first_year","last_year","birth_year","death_year"
Robert Stirling (1) Newall,ESL,1870,1871,"1,812","1,889"
F W Newman,ESL,1843,1846,NA,NA
Thomas Nicholas,ESL,1869,1869,NA,NA
Brinsley Nicholson,ESL,1855,1871,"1,824","1,892"
Charles Nicholson,ESL,1858,1865,"1,808","1,903"
D Nicol,ESL,1862,1862,NA,NA
J  Dyce Nicol,ESL,1862,1871,NA,NA
Donald Nicoll,ESL,1868,1868,NA,NA
Giustiniano Nicolucci,ESL,1862,1871,"1,819","1,904"
Sven Nilsson,ESL,1860,1871,"1,787","1,883"
Josiah Clark Nott,ESL,1861,1871,"1,804","1,873"
Thomas William Nunn,ESL,1851,1851,"1,825","1,909"
P O'Callaghan,ESL,1870,1871,NA,NA
George O'Gorman,ESL,1846,1852,NA,NA
Edward O'Riley,ESL,1860,1871,NA,NA
William Ogilby,ESL,1845,1850,NA,NA
Laurence Oliphant,ESL,1860,1868,"1,829","1,888"
Samuel Pasfield Oliver,ESL,1868,1869,"1,838","1,907"
Gustav Oppert,ESL,1869,1871,"1,836","1,908"
W  Billing Orton,ESL,1868,1871,NA,NA
Sherard Osborn,ESL,1867,1871,"1,822","1,875"
Charles Otto,ESL,1853,1871,"1,795","1,879"
Frederick Ouvry,ESL,1868,1871,"1,814","1,881"
John Downes Owens,ESL,1848,1848,"1,809","1,865"
Thomas Page,ESL,1844,1844,NA,NA
Arthur Paget,ESL,1861,1861,"1,851","1,928"
William Gifford Palgrave,ESL,1868,1871,"1,826","1,888"
