"id","family_name","first_names","id:1","society"
693,Ferguson,William,11,Geological Society
696,Fiddes,Alexander,33,Royal College of Surgeons Edinburgh
703,Fishbourne,Edward Gardiner,58,Royal United Service Institution
707,Fitzroy,Robert,21,Royal Society
709,Fitzwilliam,William S,35,Statistical Society
710,Fleming,George,2,Royal College of Surgeons
710,Fleming,George,8,Royal Geographical Society
711,Fleming,James William,2,Royal College of Surgeons
713,Fletcher,Joseph,35,Statistical Society
716,Flower,John Wickham,11,Geological Society
718,Folsom,George,101,American Ethnological Society
720,Forbes,David,21,Royal Society
720,Forbes,David,11,Geological Society
721,Forbes,Duncan W,2,Royal College of Surgeons
728,Foster,Balthazar Walter,16,Linnean Society of London
728,Foster,Balthazar Walter,6,Medical and Chirurgical Society of London
730,Fowler,Robert Nicholas,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
730,Fowler,Robert Nicholas,9,Society of Antiquaries
732,Fox,Charles Henry,7,Somersetshire Archaeological and Natural History Society
734,Franks,Augustus Wollaston,9,Society of Antiquaries
734,Franks,Augustus Wollaston,21,Royal Society
734,Franks,Augustus Wollaston,8,Royal Geographical Society
734,Franks,Augustus Wollaston,11,Geological Society
734,Franks,Augustus Wollaston,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
746,Fry,Danby Palmer,86,Philological Society
746,Fry,Danby Palmer,116,Early English Text Society
747,Fuller,Stephen D,117,Charity Organization Society
747,Fuller,Stephen D,118,Society for Promoting Christian Knowledge
754,Galton,Douglas,21,Royal Society
754,Galton,Douglas,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
754,Galton,Douglas,16,Linnean Society of London
754,Galton,Douglas,11,Geological Society
755,Galton,Francis,21,Royal Society
755,Galton,Francis,11,Geological Society
755,Galton,Francis,8,Royal Geographical Society
759,Gardner,C T,8,Royal Geographical Society
761,Gardner,E V,9,Society of Antiquaries
766,Gassiot,John Peter,21,Royal Society
766,Gassiot,John Peter,38,Marine Biological Association of the United Kingdom
766,Gassiot,John Peter,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
767,Gatty,Charles Henry,16,Linnean Society of London
767,Gatty,Charles Henry,11,Geological Society
767,Gatty,Charles Henry,30,Cambridge Philosophical Society
773,Gervais,Paul,11,Geological Society
774,Gibb,George Duncan,11,Geological Society
776,Gibson,George Stacey,119,Society of Friends
782,Gilmour,Andrew,27,Royal College of Physicians
794,Godrich,Thomas,27,Royal College of Physicians
795,Goldsmid,Augustus,9,Society of Antiquaries
795,Goldsmid,Augustus,34,Zoological Society
800,Goodman,Charles Rowland,2,Royal College of Surgeons
802,Gore,Richard Thomas,2,Royal College of Surgeons
806,Gover,Charles Edward,51,"Royal Society for the Encouragement of Arts, Manufactures and Commerce"
806,Gover,Charles Edward,26,Royal Asiatic Society
812,Gratiolet,Pierre,12,Anthropological Society of Paris
813,Grattan,John,2,Royal College of Surgeons
814,Graves,Ryves William,2,Royal College of Surgeons
815,Grayling,John,2,Royal College of Surgeons
817,Green,Frederick King,2,Royal College of Surgeons
822,Greenough,George Bellas,21,Royal Society
822,Greenough,George Bellas,11,Geological Society
824,Greenwell,William,9,Society of Antiquaries
824,Greenwell,William,96,Royal Society of Edinburgh
824,Greenwell,William,21,Royal Society
824,Greenwell,William,123,Cumberland and Westmorland Antiquarian and Archaeological Society
826,Greg,William Rathbone,124,Metaphysical Society
828,Gregor,Walter,65,Folklore Society
828,Gregor,Walter,125,Scottish Text Society
839,Griffiths,Francis,2,Royal College of Surgeons
839,Griffiths,Francis,23,Chemical Society
839,Griffiths,Francis,126,Microscopical Society of London
839,Griffiths,Francis,3,Pathological Society of London
845,Grover,John,21,Royal Society
849,Guise,William Vernon,11,Geological Society
849,Guise,William Vernon,16,Linnean Society of London
850,Gunn,John,11,Geological Society
850,Gunn,John,127,Norwich and Norfolk Geological Society
857,Haast,Johann Franz ('Julius'),21,Royal Society
862,Hallam,Henry,21,Royal Society
871,Hancock,H J B,8,Royal Geographical Society
878,Harding,Charles,8,Royal Geographical Society
878,Harding,Charles,35,Statistical Society
878,Harding,Charles,15,Royal Society of Literature
879,Harding,William,2,Royal College of Surgeons
879,Harding,William,128,Academia Quirurgia of Madrid
880,Hardman,William,8,Royal Geographical Society
880,Hardman,William,34,Zoological Society
883,Harle,C E,2,Royal College of Surgeons
884,Harlin,Thomas,21,Royal Society
884,Harlin,Thomas,129,Royal Institution
884,Harlin,Thomas,130,Royal Meteorological Society
884,Harlin,Thomas,11,Geological Society
890,Harris,James Penn,2,Royal College of Surgeons
893,Harrison,Charles (1),15,Royal Society of Literature
893,Harrison,Charles (1),9,Society of Antiquaries
