"Source","Target"
Thomas Hayle,Hahneman Medical Society
Thomas Hayle,British Homeopathic Association
R W Haynes,Royal Society of Literature
Edward Charles Healey,Royal Historical Society
Dunbar Isidore Heath,Royal Society of Literature
Dunbar Isidore Heath,Royal Asiatic Society
Alfred Gutteres Henriques,Geological Society
Joseph Henry,Smithsonian Institution
Alfred Hewlett,Geological Society
Alfred Hewlett,Institute of Mining Engineers
James Heywood,Royal Society
James Heywood,Society of Antiquaries
James Heywood,Geological Society
James Heywood,Marine Biological Association of the United Kingdom
Alfred Higgins,Anthropological Society of Paris
George Hill,Royal College of Physicians
Frederick Hindmarsh,Geological Society
Frederick Hindmarsh,Royal Geographical Society
Frederick Hindmarsh,British Archaeological Association
Frederick Hindmarsh,Historic Society of Lancashire and Cheshire
W Hitchman,Linnean Society of London
W Hitchman,Royal College of Surgeons
W G E Hobbs,Royal Geographical Society
Thomas (1) Hodgkin,Royal Geographical Society
Thomas (1) Hodgkin,Philological Society
Thomas (1) Hodgkin,Society for the Diffusion of Useful Knowledge
Thomas (1) Hodgkin,British Association
Brian Houghton Hodgson,Royal Asiatic Society
Brian Houghton Hodgson,Linnean Society of London
Brian Houghton Hodgson,Royal Society
Jennings Holgate,British Archaeological Association
James Holland,Royal Geographical Society
H  le Hon,Geological Society of France
T H Hood,Geological Society
T H Hood,Royal Geographical Society
Joseph Hooker,Royal Society
W J S Horton,Kent Archaeological Society
W J S Horton,Royal Asiatic Society
x Houghton,Royal Society
x Houghton,Royal Geographical Society
x Houghton,Zoological Society
Edward Price Houghton,Royal College of Surgeons
Henry Hoyle Howorth,Society for Psychical Research
Henry Hoyle Howorth,Royal Society
Henry Hoyle Howorth,Royal Archaeological Institute
Henry Hoyle Howorth,Royal Geographical Society
Henry Hoyle Howorth,Royal Asiatic Society
Henry Hoyle Howorth,Numismatic Society
Charles William Hoyland,Royal College of Surgeons
F Hudson,Chemical Society
Henry Hudson,Royal Irish Academy
Henry Hudson,Chemical Society
Robinson Hudson,Royal College of Surgeons
Richard Hughes,Royal College of Physicians
Richard Hughes,Royal College of Surgeons
Thomas McKenny Hughes,Geological Society
Thomas McKenny Hughes,Society of Antiquaries
Thomas McKenny Hughes,Cumberland and Westmorland Antiquarian and Archaeological Society
Thomas Humble,Royal College of Physicians
George S  Lennon Hunt,Royal Geographical Society
James Hunt,Royal Society of Literature
James Hunt,Imperial Leopoldino Carolina Academia Naturae Curiosum
James Hunt,Anthropological Society of Paris
James Hunt,Upper Hesse Society for Natural and Medical Science
James Hunt,Society of Antiquaries
Jonathan Hutchinson,Royal College of Surgeons
Jonathan Hutchinson,Medical and Chirurgical Society of London
Thomas Henry Huxley,British Association
Thomas Henry Huxley,Royal Society
Thomas Henry Huxley,Linnean Society of London
Thomas Henry Huxley,Geological Society
Thomas Henry Huxley,Metaphysical Society
Thomas Henry Huxley,Marine Biological Association of the United Kingdom
Joseph Ince,Chemical Society
Joseph Ince,Royal Microscopical Society
Joseph Ince,Linnean Society of London
Joseph Ince,Royal Pharmaceutical Society
Robert Ingham,"Society for the Encouragement of Arts, Manufactures and Commerce"
Robert M Inman,Royal Geographical Society
A Ioannides,Royal College of Physicians
Frederick R Izard,Royal Geographical Society
Henry (the father) Jackson,Royal College of Surgeons
Henry (the father) Jackson,Sheffield Literary and Philosophical Society
Henry (the son) Jackson,Geological Society
Henry (the son) Jackson,British Academy
Henry Willan Jackson,Royal College of Surgeons
Henry William (1) Jackson,Royal College of Surgeons
J  Hughlings Jackson,Royal College of Physicians
J  Hughlings Jackson,Medical and Chirurgical Society of London
George Alexander James,Royal Geographical Society
William Jardine,Royal Society
William Jardine,Linnean Society of London
Frederick John Jeffery,Historic Society of Lancashire and Cheshire
Charles Jellicoe,Institute of Actuaries
Charles Jellicoe,Royal Geographical Society
Charles Jellicoe,Statistical Society
William Jennings,Royal Geographical Society
Leonard Jenyns LATER Blomefield,Linnean Society of London
Leonard Jenyns LATER Blomefield,Geological Society
Leonard Jenyns LATER Blomefield,Bath Royal Literary and Scientific Institution
William Jepson,Royal College of Surgeons
Henry Edward Jessop,Royal College of Surgeons
Augustus Jessopp,Royal Geographical Society
George Curling Joad,Zoological Society
Henry Johnson,Zoological Society
C  Treasure Jones,Royal Asiatic Society
J  Pryce Jones,Royal Geographical Society
John Jones,"Society of Archaeology, Namur, Brussels"
John Jones,Geological Society
William Arthur Jones,Geological Society
William Arthur Jones,Somersetshire Archaeological and Natural History Society
Algernon Joy,London Spiritualist Alliance
Algernon Joy,National Association of Spiritualists of London
Algernon Joy,British National Association of Spirtualists
J  Beete Jukes,Royal Society
x Kaup,Geological Society
J W  (2) Kaye,Royal Society of Literature
William Keene,Geological Society
James Kernahan,Royal Society of Literature
James Kernahan,Geological Society
W B Kesteven,Royal College of Surgeons
W B Kesteven,Medico Psychological Association
Nicolai de Khanikof,Anthropological Society of Paris
Edwin Holborow King,Pathological Society of London
Richard King,"Ethnological Society, New York"
Richard King,"Ethnological Society, Paris"
S W King,Geological Society
S W King,Society of Antiquaries
S W King,Royal Geographical Society
Charles Kingsley,Linnean Society of London
Charles Kingsley,Geological Society
W R H Kinlay,Royal Society of Edinburgh
Samuel Kisch,Historic Society of Lancashire and Cheshire
Robert Knox,Imperial Academy of Medicine of France
Robert Knox,Anthropological Society of Paris
Robert Knox,Royal Society of Edinburgh
Robert Knox,Royal College of Surgeons Edinburgh
George Lade,Royal College of Surgeons
Samuel Laing,Geological Society
Thomas Josiah Laing,Geological Society
Thomas Lampray,Royal Geographical Society
Jones Lamprey,Royal Geographical Society
John Lancaster,Geological Society
Vavasour Joseph Lane,Royal College of Surgeons
Augustus Henry Lane Fox later Pitt Rivers,Society of Antiquaries
Augustus Henry Lane Fox later Pitt Rivers,Geological Society
Augustus Henry Lane Fox later Pitt Rivers,Royal Geographical Society
Augustus Henry Lane Fox later Pitt Rivers,Royal Society
