"Source","Target"
Augustus Jessopp,church
Augustus Jessopp,country
Augustus S Wilkins,ASL
Augustus S Wilkins,London
Augustus S Wilkins,academic
Augustus Wollaston Franks,AI
Augustus Wollaston Franks,Athenaeum Club
Augustus Wollaston Franks,ESL
Augustus Wollaston Franks,Geological Society
Augustus Wollaston Franks,London
Augustus Wollaston Franks,Royal Geographical Society
Augustus Wollaston Franks,Royal Society
Augustus Wollaston Franks,"Society for the Encouragement of Arts, Manufactures and Commerce"
Augustus Wollaston Franks,Society of Antiquaries
Augustus Wollaston Franks,academic
Augustus Wollaston Franks,museum work
Austen Henry Layard,AI
Austen Henry Layard,Athenaeum Club
Austen Henry Layard,ESL
Austen Henry Layard,London
Austen Henry Layard,academic
Austen Henry Layard,archaeologist
Austen Henry Layard,diplomacy
Austen Henry Layard,political
B G Miraglia,ASL
B G Miraglia,Italy
B G Miraglia,Phrenopathic Society of Aversa
B G Miraglia,medical
B G Miraglia,poet
B H Paul,ASL
B H Paul,Chemical Society
B H Paul,London
B Hewitt,AI
B Hewitt,ESL
B Hewitt,India
B Slack,APS
Balthazar Walter Foster,ASL
Balthazar Walter Foster,Linnean Society of London
Balthazar Walter Foster,Medical and Chirurgical Society of London
Balthazar Walter Foster,academic
Balthazar Walter Foster,country
Balthazar Walter Foster,medical
Barnard Dickinson,APS
Barnard Dickinson,Quaker
Barnet Phillips,ASL
Barnet Phillips,America
Barnet Phillips,American Jewish Historical Society
Barnet Phillips,armed services
Barnet Phillips,business
Barnet Phillips,journalist
Barnet Phillips,literary
Barr Meadows,AI
Barr Meadows,ASL
Barr Meadows,London
Barr Meadows,National Institution for Diseases of the Skin Edinburgh
Barr Meadows,Royal College of Physicians
Barr Meadows,Royal College of Surgeons
Barr Meadows,medical
Bartholomew Bernasconi,ESL
Bartholomew Bernasconi,London
Bartholomew Bernasconi,country
Bartholomew Smith,APS
Bartholomew Smith,Quaker
Basil Lovery,AI
Basil Lovery,ASL
Basil Lovery,India
Basil Lovery,educator
Bath Charles Smart,AI
Bath Charles Smart,ESL
Bath Charles Smart,Royal College of Surgeons
Bath Charles Smart,country
Bath Charles Smart,medical
Bayle St John,ESL
Bayle St John,Egypt
Bayle St John,London
Bayle St John,literary
Bedford Pim,AI
Bedford Pim,ASL
Bedford Pim,London
Bedford Pim,Nicaragua
Bedford Pim,Royal Geographical Society
Bedford Pim,armed services
Bedford Pim,explorer
Bedford Pim,legal
Bedford Pim,political
Benbow Backhouse Marson,ASL
Benbow Backhouse Marson,country
Benjamin Bond Cabbell,AI
Benjamin Bond Cabbell,ASL
Benjamin Bond Cabbell,Athenaeum Club
Benjamin Bond Cabbell,London
Benjamin Bond Cabbell,Royal Society
Benjamin Bond Cabbell,"Society for the Encouragement of Arts, Manufactures and Commerce"
Benjamin Bond Cabbell,Society of Antiquaries
Benjamin Bond Cabbell,legal
Benjamin Bond Cabbell,political
Benjamin Boyd,APS
Benjamin Collins Brodie,Athenaeum Club
Benjamin Collins Brodie,Chemical Society
Benjamin Collins Brodie,ESL
Benjamin Collins Brodie,aristocracy
Benjamin Collins Brodie,medical
Benjamin Hinde,ASL
Benjamin Hinde,Ireland
Benjamin Hinde,armed services
Benjamin Hinde,medical
Benjamin Jowett (2),APS
Benjamin Jowett (2),Quaker
Benjamin Phillips,ESL
Benjamin Phillips,London
Benjamin Phillips,Royal Society
Benjamin Robert Winthrop,ASL
Benjamin Robert Winthrop,America
Benjamin Robert Winthrop,New York Historical Society
Benjamin Robert Winthrop,New York Institute for the Deaf and Dumb
Benjamin Robert Winthrop,business
Benjamin Seebohm,APS
Benjamin Seebohm,Quaker
Benjamin Vulliamy,ESL
Benjamin Vulliamy,clockmaker
Benjamin Wheeler,APS
Benjamin Wheeler,Quaker
Benson Baker,ASL
Benson Baker,London
Benson Baker,Royal College of Physicians
Benson Baker,Royal College of Surgeons Edinburgh
Benson Baker,medical
Benson Fryer,APS
Beriah Botfield,Athenaeum Club
Beriah Botfield,British Archaeological Association
Beriah Botfield,ESL
Beriah Botfield,London
Beriah Botfield,Royal Society
Beriah Botfield,"Society for the Encouragement of Arts, Manufactures and Commerce"
Beriah Botfield,Society of Antiquaries
Beriah Botfield,political
Bernard Dorn,ASL
Bernard Dorn,Russia
Bernard Dorn,orientalist
Bernard Edward Brodhurst,ASL
Bernard Edward Brodhurst,Athenaeum Club
Bernard Edward Brodhurst,London
Bernard Edward Brodhurst,Royal College of Surgeons
Bernard Edward Brodhurst,medical
Bernard Quaritch,AI
Bernard Quaritch,ASL
Bernard Quaritch,London
Bernard Quaritch,Zoological Society
Bernard Quaritch,business
Bernard Quaritch,publisher
Berthold Seemann,ASL
Berthold Seemann,Linnean Society of London
Berthold Seemann,London
Berthold Seemann,Royal Geographical Society
Bev D Hewett,APS
Brasseur de Bourbourg,ASL
Brasseur de Bourbourg,France
Brasseur de Bourbourg,archaeologist
Brasseur de Bourbourg,ethnographer
Brasseur de Bourbourg,historian
Brasseur de Bourbourg,literary
Brian Houghton Hodgson,AI
Brian Houghton Hodgson,ASL
Brian Houghton Hodgson,ESL
Brian Houghton Hodgson,India
Brian Houghton Hodgson,Linnean Society of London
Brian Houghton Hodgson,Royal Asiatic Society
Brian Houghton Hodgson,Royal Society
Brian Houghton Hodgson,administrative
Brian Houghton Hodgson,civil service
Brian Houghton Hodgson,country
Brice Smyth,ASL
Brice Smyth,Ireland
Brice Smyth,medical
Brinsley Nicholson,AI
Brinsley Nicholson,ESL
Brinsley Nicholson,Ireland
Brinsley Nicholson,London
Brinsley Nicholson,academic
Brinsley Nicholson,armed services
Brinsley Nicholson,country
Brinsley Nicholson,medical
Brothers Peek,APS
Buchanan Washbourn,ASL
Buchanan Washbourn,Royal College of Physicians
Buchanan Washbourn,Statistical Society
Buchanan Washbourn,country
Buchanan Washbourn,medical
Burwood Godlee,APS
Burwood Godlee,Quaker
Buxton Lawrie,APS
C  Poorooshottum Modeliar,ASL
